"orders_bike_id","order_no","bike_id","plate_no","take_latitude","take_longitude","return_latitude","return_longitude","take_gps_time","return_gps_time","take_address_bike","return_address_bike","imei","take_mileage","return_mileage","order_mileage","return_mode","dynamic_activity_level","create_time","modify_time"
"5112074","619104069895530270","41026","723007","39.900033","116.412228","39.889056","116.407212","30/6/2019 23:50:31","1/7/2019 00:18:39","崇文门外街道祈年大街新活馆","天坛街道金鱼池(西区)金鱼池西区","868183035271407","4868.5602","4870.3612","1.8","2","0","1/7/2019 00:00:06","1/7/2019 00:18:45"
"5112075","619104261029262230","80942","300001139","34.425894","112.436025","34.42231","112.426862","30/6/2019 23:58:49","1/7/2019 00:10:50","城关镇杜康大道47号","城关镇酒城北路县政府家属院(健康街)","868183038763863","2272.9097","2274.2472","1.34","2","0","1/7/2019 00:00:24","1/7/2019 00:10:59"
"5112076","619104265675212220","47999","106492886","32.000248","119.600774","31.981408","119.56819","30/6/2019 23:59:33","1/7/2019 00:18:15","经济技术开发区玉泉路120号新欣市场","云阳镇华南路180号华云公寓","352544073736879","1086.116","1091.161","5.05","2","0","1/7/2019 00:00:24","1/7/2019 00:18:20"
"5112077","619104271205222220","50816","106490100","32.576272","116.782557","32.578689","116.778413","30/6/2019 23:51:05","1/7/2019 00:05:04","寿春镇西大街","寿春镇社会保险费一票多费申报征缴办公室","352544073714397","1046.635","1047.508","0.87","2","0","1/7/2019 00:00:25","1/7/2019 00:05:10"
"5112078","619104460099312230","53467","106486976","32.790221","118.003271","32.783828","118.003922","30/6/2019 23:59:56","1/7/2019 00:05:29","明光街道闽南海鲜(明光店)","明光街道龙山路59中央广场","352544073754583","1525.589","1526.357","0.77","2","0","1/7/2019 00:00:44","1/7/2019 00:05:36"
"5112079","619104499793861420","68619","201012620","23.052322","112.48423","23.082571","112.445348","30/6/2019 23:51:31","1/7/2019 00:31:44","城东街道古塔中路10-之17号公路局","睦岗街道站北路第一人民医院(北岭分院)","868183035256358","2495.0776","2502.9933","7.92","2","0","1/7/2019 00:00:48","1/7/2019 00:31:54"
"5112081","619104600755670270","19406","712680","39.963813","116.406933","39.989218","116.46024","30/6/2019 23:53:40","1/7/2019 00:26:26","安贞街道安华里社区安华里4区","望京街道南湖中园二条花家地西里1区","868183032332483","4793.4317","4801.375","7.94","2","0","1/7/2019 00:00:59","1/7/2019 00:26:32"
"5112080","619104616365312220","37335","722442","39.132706","117.215588","39.116215","117.222768","30/6/2019 23:54:45","1/7/2019 04:59:26","大王庄街道张自忠路诚达精品酒店(天津站店)","大营门街道蚌埠道南通里","865067025960280","736.7796","739.7906","3.011","2","0","1/7/2019 00:00:59","1/7/2019 05:02:00"
"5112082","619104639749392230","86670","300004108","33.233449","116.569915","33.228412","116.569321","30/6/2019 23:56:34","1/7/2019 00:05:44","庄周街道庄子大道御景华庭(永兴路)","庄周街道庄子大道逍遥公园","866039041655052","1686.8545","1687.7016","0.85","2","0","1/7/2019 00:01:02","1/7/2019 00:05:50"
"5112083","619104752947711640","6790","602855","30.696304","103.83149","30.694037","103.822342","30/6/2019 23:48:41","1/7/2019 00:17:31","柳城街道凤溪大道北段151号第五人民医院","柳城街道德通桥路233号8柳城阳光(德通桥路)","868183032285509","1015.5201","1019.4087","3.89","2","0","1/7/2019 00:01:12","1/7/2019 00:17:41"
"5112084","619104744383951420","42123","106499185","31.29488","117.916703","31.301758","117.91281","30/6/2019 23:59:29","1/7/2019 00:08:56","无城镇南大街79号","无城镇临湖路","868183036808900","1234.7559","1235.7279","0.97","2","0","1/7/2019 00:01:13","1/7/2019 00:09:05"
"5112085","619104772405342220","84763","300003680","34.456645","113.042695","34.455978","113.054144","30/6/2019 23:57:49","1/7/2019 00:12:18","嵩阳街道菜园路滨河新苑","嵩阳街道中岳大街城东家属院","866039040390131","2121.3117","2122.5745","1.26","2","0","1/7/2019 00:01:15","1/7/2019 00:12:22"
"5112086","619104968825432220","79363","502361","23.694875","113.063905","23.710602","113.028851","30/6/2019 23:56:55","1/7/2019 00:21:29","东城街道院环西路凯景中央首座","凤城街道北门街","868183038334715","876.238","881.635","5.4","2","0","1/7/2019 00:01:34","1/7/2019 00:21:37"
"5112087","619105022135790270","34848","600502","31.353389","106.070622","31.35838","106.052836","30/6/2019 23:52:40","1/7/2019 00:15:14","滨江街道柳林街637号柳林文化广场","蜀北街道红岩子大道城北盛景","868183033539862","887.1592","890.0829","2.92","2","0","1/7/2019 00:01:42","1/7/2019 00:15:24"
"5112088","619105079807771640","43461","106498650","31.29475","117.904891","31.292085","117.907058","30/6/2019 23:42:52","1/7/2019 00:03:04","无城镇西苑社区居委会(水苑小区西)西苑山庄","无城镇滨河路滨江骏景","868183039007823","1213.0512","1213.3703","0.32","2","0","1/7/2019 00:01:45","1/7/2019 00:03:12"
"5112089","619105209005840270","28511","709042","29.384433","106.538883","29.394034","106.544676","1/7/2019 00:01:55","1/7/2019 00:11:04","龙洲湾街道中国石油巴鱼加油站颜龙·山水城","龙洲湾街道渝南大道317","867010032167034","1510.0289","1512.0218","1.99","2","0","1/7/2019 00:02:00","1/7/2019 00:11:13"
"5112090","619105270359562230","54178","106486664","35.081801","117.152082","35.085404","117.143126","30/6/2019 23:59:32","1/7/2019 00:06:26","荆河街道通衢小区","荆河街道一帆书画学校华滕中岳","352544073756620","893.098","893.098","0","2","0","1/7/2019 00:02:05","1/7/2019 00:06:35"
"5112092","619105422819632230","86567","300004283","33.267973","116.567031","33.269817","116.562668","1/7/2019 00:02:19","1/7/2019 00:04:06","城关镇淝河路154","城关镇嵇康北路","866039040610868","1644.5422","1645.1199","0.58","2","0","1/7/2019 00:02:20","1/7/2019 00:04:16"
"5112093","619105405285900270","52017","106487587","33.032584","112.23145","33.032681","112.231917","1/7/2019 00:01:37","1/7/2019 00:04:19","涅阳街道工业路镇平中心法治广场","涅阳街道工业路56镇平中心法治广场","352544073729429","1482.491","1482.884","0.39","2","0","1/7/2019 00:02:20","1/7/2019 00:04:25"
"5112091","619105403465890270","74056","500266","25.68466","114.308941","25.68301","114.313174","30/6/2019 23:59:40","1/7/2019 00:12:09","横水镇230省道468","横水镇阳岭大道158号","880818090401834","480.018","481.4","1.38","2","0","1/7/2019 00:02:20","1/7/2019 00:12:28"
"5112094","619105443437911640","77945","727816","39.951329","116.450879","39.951481","116.450684","30/6/2019 23:53:09","1/7/2019 00:39:58","左家庄街道新源街小区新源里小区","左家庄街道新源街小区新源里小区","868183037937393","3000.5967","3003.1782","2.58","2","0","1/7/2019 00:02:21","1/7/2019 00:40:05"
"5112095","619105432964251420","70235","725093","39.079701","117.172811","39.103341","117.178872","30/6/2019 23:58:58","1/7/2019 01:08:40","水上公园街道宾水西道28天津动物园","学府街道南开大学南开大学八里台校区","868183034239918","3056.024","3065.1762","9.15","2","0","1/7/2019 00:02:22","1/7/2019 01:08:47"
"5112096","619105457934271420","85083","300003185","34.419198","112.425845","34.418674","112.433202","30/6/2019 23:54:51","1/7/2019 00:20:06","城关镇酒城南路92号伊川人民医院","城关镇杜康大道99","866039040365828","2064.0913","2066.6131","2.52","2","0","1/7/2019 00:02:24","1/7/2019 00:20:17"
"5112097","619105483389642230","34276","601535","23.716947","113.0531","23.718649","113.033884","1/7/2019 00:02:09","1/7/2019 00:10:29","东城街道连发十九巷35-101号时代美居(海逸路)","凤城街道桥北路御景湖畔","860209023108638","1478.137","1480.659","2.52","2","0","1/7/2019 00:02:26","1/7/2019 00:10:39"
"5112099","619105582639672230","52248","106488322","31.982236","119.574257","31.985529","119.579367","30/6/2019 23:55:13","1/7/2019 00:06:15","云阳镇华南休闲商行华南新村小区","云阳镇东门外大街39号集成公寓","352544073737141","1116.734","1117.525","0.79","2","0","1/7/2019 00:02:36","1/7/2019 00:06:29"
"5112098","619105562135960270","81975","300001187","34.431397","112.425702","34.418569","112.421815","30/6/2019 23:58:40","1/7/2019 00:09:59","城关镇文化北路中民豪居","城关镇荆山西路中州文化小区","868183038763426","2340.3104","2342.0045","1.69","2","0","1/7/2019 00:02:36","1/7/2019 00:10:10"
"5112100","619105609925622220","41477","106499178","31.315463","117.904039","31.298463","117.914381","30/6/2019 23:57:43","1/7/2019 00:14:02","无城镇凤河路同心小区东区","无城镇绣溪街","868183039017962","1056.4805","1058.6554","2.17","2","0","1/7/2019 00:02:39","1/7/2019 00:14:10"
"5112101","619105632344331420","79096","501699","0","0","0","0",,,,,"868183033499471","0","0","0","2","0","1/7/2019 00:02:41","1/7/2019 00:02:41"
"5112102","619105648139732230","18364","707461","0","0","0","0",,,,,"867010032498926","0","0","0","2","0","1/7/2019 00:02:42","1/7/2019 00:02:42"
"5112103","619105661374351420","17746","701266","39.896394","116.380182","39.888809","116.372957","30/6/2019 23:44:09","1/7/2019 00:12:21","椿树街道庄胜城二期芳芷苑","牛街街道烂缦胡同枫桦豪景1期","867010032526973","4174.7485","4176.8421","2.09","2","0","1/7/2019 00:02:44","1/7/2019 00:12:28"
"5112104","619105717869772230","27475","709142","29.588266","106.313724","29.582947","106.316622","30/6/2019 23:53:21","1/7/2019 00:07:33","虎溪街道思贤路24羲城蓝湾","虎溪街道协信城立方东1期天骄名城1期","868183032456415","2656.8648","2657.8168","0.95","2","0","1/7/2019 00:02:49","1/7/2019 00:07:39"
"5112105","619105807794421420","73673","500623","23.704573","113.030336","23.701904","113.027604","30/6/2019 23:56:25","1/7/2019 00:06:14","凤城街道大观街13号航运大楼(大观街)","凤城街道沿江路南11座豪景大厦(沿江路)","880818090401538","756.193","756.599","0.41","2","0","1/7/2019 00:02:59","1/7/2019 00:06:23"
"5112106","619105820807981640","37548","715007","34.848035","110.451684","34.848016","110.45173","1/7/2019 00:01:59","1/7/2019 00:15:11","城东街道舜都大道舜帝山森林公园","城东街道舜都大道舜帝山森林公园","868183035250377","587.1147","588.0663","0.95","2","0","1/7/2019 00:02:59","1/7/2019 00:15:17"
"5112107","619105824786070270","76813","202000842","23.721373","114.69961","23.740105","114.698472","30/6/2019 23:57:34","1/7/2019 00:16:12","上城街道新兴路73新兴花苑(新兴路)","上城街道石苟巷","880818090402466","508.867","512.594","3.73","2","0","1/7/2019 00:03:02","1/7/2019 00:16:19"
"5112108","619105837846080270","42209","106498121","34.146757","113.46262","34.1454","113.468401","30/6/2019 23:59:05","1/7/2019 00:23:16","夏都街道夏都路229电信大楼","夏都街道颍河大街367溪畔佳苑","868183039043992","1744.7148","1746.3385","1.62","2","0","1/7/2019 00:03:03","1/7/2019 00:23:28"
"5112109","619105956208051640","77467","728039","34.20708","113.79325","34.219073","113.791051","1/7/2019 00:01:56","1/7/2019 00:08:30","金桥路街道金英路金鼎公寓","金桥路街道金桥路","868183037957243","2881.596","2883.0346","1.44","2","0","1/7/2019 00:03:13","1/7/2019 00:08:40"
"5112110","619106026004501420","78590","300000770","33.616441","113.36973","33.621933","113.357615","30/6/2019 23:47:58","1/7/2019 00:15:08","城关乡广场东街御景豪庭","昆阳镇昆阳大道绿地广场","868183037930299","1689.3572","1692.1828","2.83","2","0","1/7/2019 00:03:21","1/7/2019 00:15:18"
"5112111","619106017856120270","86575","300004147","33.246639","116.563778","33.229224","116.55687","30/6/2019 23:55:32","1/7/2019 00:15:32","庄周街道逍遥路六里小区西区","庄周街道万年船木家具至尊尚城","866039040809007","1770.4138","1772.9097","2.5","2","0","1/7/2019 00:03:21","1/7/2019 00:15:40"
"5112112","619106054094521420","70202","725027","34.229018","113.790653","34.233271","113.792164","30/6/2019 23:53:04","1/7/2019 00:06:16","增福镇金英路","长兴路街道双岳路华友·远大瑞园","868183034242318","3448.7625","3449.4673","0.7","2","0","1/7/2019 00:03:24","1/7/2019 00:06:24"
"5112113","619106055394531420","61834","201007135","23.738939","114.701784","23.733455","114.705328","1/7/2019 00:01:31","1/7/2019 00:07:13","上城街道中山路4号翔丰商业广场(中山路店)","上城街道东堤路中医院","860209023086628","334.975","335.856","0.88","2","0","1/7/2019 00:03:24","1/7/2019 00:07:20"
"5112114","619106307305882220","58418","201003899","32.380628","120.56295","32.39891","120.564603","1/7/2019 00:03:10","1/7/2019 00:11:52","如城街道宁海路334紫竹园","经济开发区海阳路海北新村海阳公寓","860209023038413","1938.643","1941.234","2.59","2","0","1/7/2019 00:03:48","1/7/2019 00:11:59"
"5112115","619106412974671420","15979","706094","29.474858","106.650522","29.50995","106.658006","30/6/2019 23:50:18","1/7/2019 00:21:50","长生桥镇牡丹路茶园公寓","长生桥镇通江大道95附24号","867190038818192","1033.2553","1038.393","5.14","2","0","1/7/2019 00:04:00","1/7/2019 00:21:55"
"5112116","619106433666250270","29788","711819","29.495872","106.488763","29.471227","106.485755","1/7/2019 00:00:12","1/7/2019 00:15:09","九龙镇龙泉路13轻港佳苑","九宫庙街道钢花路979","867190038867751","1161.2996","1164.4901","3.19","2","0","1/7/2019 00:04:03","1/7/2019 00:15:15"
